duration,nr_employed,age,euribor3m,campaign,pdays,cons_conf_idx,day_of_week_wed,education_high.school
210,5228.1,44,4.963,1,999,-36.1,0,0
138,5195.8,53,4.021,1,999,-42.0,0,0
339,4991.6,28,0.7290000000000001,3,6,-39.8,0,0
185,5099.1,39,1.405,2,999,-47.1,0,1
137,5076.2,55,0.8690000000000001,1,3,-31.4,0,0
68,5228.1,30,4.961,8,999,-42.7,0,0
204,5099.1,37,1.327,1,999,-46.2,0,0
191,5099.1,39,1.3130000000000002,1,999,-46.2,0,0
174,5076.2,36,1.266,1,3,-40.8,0,0
191,5099.1,27,1.41,2,999,-47.1,0,0
62,5191.0,34,4.864,2,999,-36.4,0,0
789,5228.1,41,4.964,1,999,-36.1,0,0
372,5228.1,55,4.965,3,999,-36.1,0,0
75,5099.1,33,1.291,5,999,-46.2,0,1
1021,5228.1,26,4.96,1,999,-41.8,0,1
117,5228.1,52,4.962,2,999,-42.7,0,1
1034,5099.1,35,1.365,2,999,-47.1,0,1
540,5195.8,27,4.86,1,999,-40.4,0,0
140,5191.0,28,4.86,1,999,-36.4,0,0
104,5228.1,26,4.96,4,999,-42.7,0,0
246,5099.1,41,1.405,1,999,-47.1,0,0
1114,5228.1,35,4.967,1,999,-41.8,0,0
340,5228.1,40,4.963,1,999,-42.7,1,0
35,5228.1,32,4.968,1,999,-42.7,0,0
241,5228.1,41,4.962,3,999,-42.7,0,1
168,5099.1,34,1.344,2,999,-46.2,0,0
81,5017.5,49,0.754,1,999,-26.9,0,0
226,5099.1,37,1.365,1,2,-47.1,0,1
746,5099.1,35,1.3130000000000002,2,999,-46.2,0,0
41,5228.1,38,4.961,5,999,-42.7,0,0
115,5228.1,47,4.961,1,999,-41.8,0,1
227,5099.1,46,1.327,2,999,-46.2,0,0
275,5099.1,27,1.2990000000000002,1,999,-46.2,0,0
365,5076.2,29,1.268,3,999,-40.8,0,1
68,5228.1,32,4.963,2,999,-42.7,1,0
54,5099.1,36,1.334,1,999,-46.2,1,0
93,5228.1,29,4.96,1,999,-42.7,0,0
267,5099.1,47,1.405,2,999,-47.1,0,1
17,5228.1,44,4.96,25,999,-41.8,0,0
121,5228.1,54,4.962,11,999,-36.1,0,0
294,5191.0,36,4.86,2,999,-36.4,0,0
24,5191.0,42,4.857,1,999,-36.4,1,0
345,5228.1,44,4.961,5,999,-42.7,0,0
244,5017.5,72,0.715,2,999,-30.1,1,0
213,5228.1,48,4.966,3,999,-36.1,0,0
371,5195.8,36,4.0760000000000005,1,999,-42.0,0,1
87,5228.1,35,4.965,1,999,-36.1,0,0
195,5099.1,43,1.354,3,999,-46.2,0,0
102,5228.1,56,4.967,1,999,-36.1,1,0
93,5228.1,42,4.959,2,999,-41.8,0,0
244,5099.1,31,1.354,1,999,-46.2,0,0
52,5228.1,32,4.958,5,999,-41.8,0,0
164,5099.1,33,1.354,2,999,-46.2,0,1
91,5228.1,31,4.864,4,999,-41.8,1,0
68,5191.0,39,4.859,1,999,-36.4,1,0
122,5191.0,30,4.857,4,999,-36.4,0,1
45,5099.1,24,1.27,4,999,-46.2,0,0
61,5191.0,24,4.857,1,999,-36.4,0,1
162,5191.0,38,4.859,4,999,-36.4,1,0
126,5228.1,26,4.959,12,999,-41.8,1,1
92,5191.0,41,4.856,1,999,-36.4,0,0
329,5099.1,34,1.405,1,999,-47.1,0,1
116,5099.1,30,1.811,1,999,-50.0,0,0
450,5195.8,37,4.021,1,999,-42.0,0,0
665,5076.2,68,1.029,1,999,-33.6,1,0
168,5228.1,31,4.962,2,999,-42.7,0,1
132,5099.1,48,1.365,1,999,-47.1,0,0
349,5191.0,33,4.857,4,999,-36.4,0,0
249,5099.1,59,1.259,3,999,-46.2,0,0
336,5191.0,44,4.857,3,999,-36.4,0,0
169,5228.1,28,4.8660000000000005,1,999,-41.8,0,0
89,5076.2,50,0.883,3,4,-31.4,0,0
55,5195.8,33,4.0760000000000005,1,999,-42.0,0,0
221,5191.0,45,4.857,1,999,-36.4,0,0
77,5228.1,40,4.96,2,999,-42.7,0,0
64,5228.1,45,4.962,18,999,-36.1,0,0
62,5191.0,43,4.8580000000000005,2,999,-36.4,0,0
198,5191.0,54,4.857,3,999,-36.4,0,0
